system_name,test_id,category,category_display,recovery_test,question,expected_tools,majority_pass,pass_count,mean_correctness,mean_relevance,mean_completeness,mean_pedagogical_quality,mean_grounding_consistency,mean_overall_score,stdev_overall_score,any_critical_error,critical_error_count,primary_error_type,observed_error_types,judge_error_occurrence_count,initial_selected_tools,final_selected_tools,initial_exact_selection,final_exact_selection,final_plan_execution_success,expected_tool_fulfillment,final_validation_status,recovery_triggered,recovery_successful
Basic Tool Use,T086,recovery_personalization_trace,Recovery / Personalization / Trace,No,I confused matrix multiplication with convolution before. Correct that misunderstanding.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,2.333333333333333,2.6666666666666665,3.333333333333333,2.333333333333333,2.0,2.533333333333333,0.4163331998932265,True,3,factual_error,factual_error,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,,,
Full Manager,T086,recovery_personalization_trace,Recovery / Personalization / Trace,No,I confused matrix multiplication with convolution before. Correct that misunderstanding.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,0.5773502691896257,True,2,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,No,No,No,No,invalid,Yes,No
Direct LLM,T087,recovery_personalization_trace,Recovery / Personalization / Trace,No,Give me a simpler explanation than the previous one about padding.,TraceSearchTool;RAGTool,True,2,4.333333333333333,3.6666666666666665,3.6666666666666665,4.333333333333333,3.6666666666666665,3.9333333333333336,1.171893055416463,True,1,incomplete_answer,incomplete_answer,1,,,,,,,,,
Manager Without Recovery,T087,recovery_personalization_trace,Recovery / Personalization / Trace,No,Give me a simpler explanation than the previous one about padding.,TraceSearchTool;RAGTool,False,0,2.0,1.6666666666666667,2.333333333333333,2.0,2.333333333333333,2.0666666666666664,0.7023769168568492,True,3,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,valid,No,No
Basic Tool Use,T087,recovery_personalization_trace,Recovery / Personalization / Trace,No,Give me a simpler explanation than the previous one about padding.,TraceSearchTool;RAGTool,False,0,2.0,2.333333333333333,3.0,2.0,2.0,2.2666666666666666,0.115470053837925,True,3,factual_error,factual_error,3,RAGTool;TraceSearchTool;VisualMatrixTool,RAGTool;TraceSearchTool;VisualMatrixTool,No,No,Yes,Yes,,,
Manager Without Recovery,T089,recovery_personalization_trace,Recovery / Personalization / Trace,No,Explain matrix multiplication again but avoid convolution examples.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.4666666666666666,0.5033222956847166,True,3,contradictory_answer,contradictory_answer;irrelevant_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,invalid,No,No
Basic Tool Use,T089,recovery_personalization_trace,Recovery / Personalization / Trace,No,Explain matrix multiplication again but avoid convolution examples.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.5773502691896257,True,1,incomplete_answer,incomplete_answer,2,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,,,
Full Manager,T089,recovery_personalization_trace,Recovery / Personalization / Trace,No,Explain matrix multiplication again but avoid convolution examples.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,non_answer,irrelevant_answer;non_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,No,No,No,No,invalid,Yes,No
Manager Without Recovery,T091,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain convolution, but force the first attempt without RAG grounding.",RAGTool,True,2,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,2.309401076758503,True,1,contradictory_answer,contradictory_answer,1,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,valid,No,No
Basic Tool Use,T091,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain convolution, but force the first attempt without RAG grounding.",RAGTool,False,0,2.6666666666666665,3.0,3.333333333333333,2.6666666666666665,2.333333333333333,2.8000000000000003,0.529150262212918,True,3,mixed:calculation_error|contradictory_answer|factual_error,calculation_error;contradictory_answer;factual_error,3,RAGTool,RAGTool,Yes,Yes,Yes,Yes,,,
Basic Tool Use,T092,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain padding and stride, but force the first attempt without grounding.",RAGTool,True,2,3.6666666666666665,3.6666666666666665,4.0,3.6666666666666665,3.333333333333333,3.6666666666666665,0.5773502691896257,True,1,contradictory_answer,contradictory_answer,1,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,,,
Direct LLM,T092,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain padding and stride, but force the first attempt without grounding.",RAGTool,False,1,3.0,3.333333333333333,3.6666666666666665,3.333333333333333,3.0,3.2666666666666666,0.9451631252505216,True,1,factual_error,factual_error,1,,,,,,,,,
Manager Without Recovery,T092,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain padding and stride, but force the first attempt without grounding.",RAGTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.5773502691896257,True,3,incomplete_answer,incomplete_answer;non_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T093,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain visually how a kernel moves, but force the first attempt without grounding.",RAGTool;VisualMatrixTool;MatrixComputationTool,False,1,3.6666666666666665,3.6666666666666665,3.0,3.0,3.333333333333333,3.333333333333333,1.301281419729542,True,1,incomplete_answer,incomplete_answer,1,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,No,valid,No,No
Direct LLM,T093,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain visually how a kernel moves, but force the first attempt without grounding.",RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.4,0.5291502622129182,True,3,irrelevant_answer,factual_error;irrelevant_answer,3,,,,,,,,,
Basic Tool Use,T093,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain visually how a kernel moves, but force the first attempt without grounding.",RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.6666666666666665,3.0,3.0,2.333333333333333,2.6666666666666665,2.7333333333333334,0.3055050463303894,True,1,factual_error,factual_error,1,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,No,,,
Manager Without Recovery,T094,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain convolution output size, but force the first attempt without grounding.",RAGTool;CalculatorTool,False,1,4.333333333333333,4.333333333333333,3.6666666666666665,3.6666666666666665,4.0,4.0,0.8717797887081348,False,0,none,,0,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,No,valid,No,No
Basic Tool Use,T095,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain, compute, and visualize convolution, but force the first attempt without grounding.",RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.6666666666666665,2.333333333333333,2.333333333333333,2.0,2.2666666666666666,0.3055050463303894,True,3,calculation_error,calculation_error;factual_error,3,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,,,
Direct LLM,T095,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain, compute, and visualize convolution, but force the first attempt without grounding.",RAGTool;VisualMatrixTool;MatrixComputationTool,True,2,3.6666666666666665,4.0,4.0,4.0,3.6666666666666665,3.8666666666666663,0.2309401076758502,False,0,calculation_error,calculation_error,1,,,,,,,,,
Basic Tool Use,T096,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain matrix multiplication, but force the first attempt to use an incomplete tool output.",RAGTool;MatrixComputationTool,False,0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,False,0,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,Yes,Yes,No,No,,,
Direct LLM,T096,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain matrix multiplication, but force the first attempt to use an incomplete tool output.",RAGTool;MatrixComputationTool,False,1,3.333333333333333,4.0,4.0,4.0,3.333333333333333,3.733333333333333,0.2309401076758502,True,2,calculation_error,calculation_error,2,,,,,,,,,
Direct LLM,T097,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Visualize matrix multiplication, but force the first attempt to miss the visual support.",RAGTool;VisualMatrixTool;MatrixComputationTool,False,1,3.0,3.6666666666666665,3.6666666666666665,3.0,3.0,3.2666666666666666,0.8082903768654761,True,2,calculation_error,calculation_error,2,,,,,,,,,
Manager Without Recovery,T098,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Write Python code for convolution, but force the first attempt to miss validation.",CodeSandboxTool;RAGTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.5773502691896257,True,3,incomplete_answer,incomplete_answer;non_answer,3,CodeSandboxTool;RAGTool;TraceSearchTool,CodeSandboxTool;RAGTool;TraceSearchTool,No,No,No,No,invalid,No,No
Direct LLM,T098,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Write Python code for convolution, but force the first attempt to miss validation.",CodeSandboxTool;RAGTool,False,1,3.0,3.6666666666666665,3.6666666666666665,3.333333333333333,3.0,3.333333333333333,0.8326663997864532,True,2,mixed:calculation_error|factual_error,calculation_error;factual_error,2,,,,,,,,,
Basic Tool Use,T098,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Write Python code for convolution, but force the first attempt to miss validation.",CodeSandboxTool;RAGTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,contradictory_answer,contradictory_answer;incomplete_answer,3,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool,Yes,Yes,Yes,Yes,,,
Full Manager,T098,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Write Python code for convolution, but force the first attempt to miss validation.",CodeSandboxTool;RAGTool,False,0,2.333333333333333,3.333333333333333,3.333333333333333,2.333333333333333,2.333333333333333,2.7333333333333334,0.5773502691896257,True,3,calculation_error,calculation_error,3,CodeSandboxTool;RAGTool;TraceSearchTool,CodeSandboxTool;RAGTool,No,Yes,Yes,Yes,valid,Yes,Yes
Manager Without Recovery,T099,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain the difference between convolution and matrix multiplication, but force a topic-mismatch recovery.",RAGTool;VisualMatrixTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,1.7333333333333334,0.4618802153517006,True,3,mixed:incomplete_answer|irrelevant_answer|non_answer,incomplete_answer;irrelevant_answer;non_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,No,valid,No,No
Basic Tool Use,T099,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain the difference between convolution and matrix multiplication, but force a topic-mismatch recovery.",RAGTool;VisualMatrixTool,False,0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,1.1547005383792517,True,1,mixed:incomplete_answer|non_answer,incomplete_answer;non_answer,2,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,,,
Direct LLM,T099,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain the difference between convolution and matrix multiplication, but force a topic-mismatch recovery.",RAGTool;VisualMatrixTool,True,2,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.733333333333333,0.6429100507328638,False,0,none,,0,,,,,,,,,
Basic Tool Use,T100,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,Give a personalized explanation of convolution after a failed first attempt.,TraceSearchTool;RAGTool,False,1,3.0,3.0,3.0,3.0,3.0,3.0,1.0,True,1,incomplete_answer,incomplete_answer,1,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,Yes,Yes,Yes,Yes,,,
Manager Without Recovery,T100,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,Give a personalized explanation of convolution after a failed first attempt.,TraceSearchTool;RAGTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,non_answer,incomplete_answer;non_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,valid,No,No
Full Manager,T100,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,Give a personalized explanation of convolution after a failed first attempt.,TraceSearchTool;RAGTool,False,0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,False,0,incomplete_answer,incomplete_answer,2,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,valid,Yes,Yes
